*************,Rating,RatingBinary,prepCommentText,CommentText,UserID,ProductCategory,ProductType,ProductBrand,LinkProduct,ProductName,ProductPrice,PIC,Check,Unnamed: 12
700,1,"[1, 0, 0, 0, 0]",lừa_đảo khách_hàng hình 22 5 w hành 10w nhân_viên hổ trợ bảo đặt_hàng kĩ treo đầu dê thịt chó mua,"lừa đảo khách hàng, trên hình là 22.5w nhưng đặt hành thì là 10w nhờ nhân viên hổ trợ thì bảo là đặt hàng mà xem không kĩ thì chịu. treo đầu dê bán thịt chó à không nên mua",lê H.,Phụ kiện điện thoại& Máy tính bảng,Pin sạc dự phòng,Robot,https://www.lazada.vn/products/pin-du-phong-robot-rt25-ban-nang-cap-cua-rt23-dung-luong-cao-20000mah-cuc-sac-led-hien-thi-pin-nho-gon-2-cong-sac-vao-2-cong-sac-ra-i1340085122-s11796841509.html?c=&channelLpJumpArgs=&clickTrackInfo=query%253A%253Bnid%253A1340085122%253Bsrc%253ALazadaMainSrp%253Brn%253A8940165621ebe3a323b487612ab806cc%253Bregion%253Avn%253Bsku%253A1340085122_VNAMZ%253Bprice%253A329000%253Bclient%253Adesktop%253Bsupplier_id%253A200157990106%253Bbiz_source%253Ahttps%253A%252F%252Fwww.lazada.vn%252F%253Bslot%253A15%253Butlog_bucket_id%253A470687%253Basc_category_id%253A9031%253Bitem_id%253A1340085122%253Bsku_id%253A11796841509%253Bshop_id%253A772654%253BtemplateInfo%253A107883_A3_C_D_E%25231103_B_L%2523&freeshipping=1&fs_ab=2&fuse_fs=&lang=vi&location=H%E1%BB%93%20Ch%C3%AD%20Minh&price=3.29E%205&priceCompare=skuId%3A11796841509%3Bsource%3Alazada-search-voucher%3Bsn%3A8940165621ebe3a323b487612ab806cc%3BunionTrace%3A2d7cff1617268652342142788e%3BoriginPrice%3A329000%3BvoucherPrice%3A329000%3BdisplayPrice%3A329000%3BsinglePromotionId%3A-1%3BsingleToolCode%3AmockedSalePrice%3BvoucherPricePlugin%3A1%3BbuyerId%3A0%3Btimestamp%3A1726865234521%3BsearchDisctDet%3A%5B%7B%22discountValue%22%3A0%2C%22newUserVoucher%22%3Afalse%2C%22toolCode%22%3A%22shopPromotionPart%22%2C%22voucherId%22%3A900000029084244%7D%5D&ratingscore=4.859050445103858&request_id=8940165621ebe3a323b487612ab806cc&review=674&sale=2093&search=1&source=search&spm=a2o4n.searchlistcategory.list.15&stock=1,Pin dự phòng ROBOT RT25 [Bản nâng cấp của RT23] dung lượng cao 20000mAh cục sạc led hiển thị pin nhỏ gọn 2 cổng sạc vào 2 cổng sạc ra,329,20200679,,OK
733,2,"[0, 1, 0, 0, 0]",wifi bắt ko lắm,WiFi bắt ko tốt lắm,0***6,Camera giám sát,Camera An Ninh Cctv,Ezviz,https://www.lazada.vn/products/camera-wifi-ngoai-troi-chong-nuoc-ipx6-ezviz-c3wn-fullhd-2mpx-nhin-dem-30m-wifi-manh-me-bao-hanh-chinh-hang-24-thang-tang-1-tuan-dung-thu-cloud-i1475917686-s6138589652.html?c=&channelLpJumpArgs=&clickTrackInfo=query%253A%253Bnid%253A1475917686%253Bsrc%253ALazadaMainSrp%253Brn%253Af6015726812e5d79f69ae38dc622ab25%253Bregion%253Avn%253Bsku%253A1475917686_VNAMZ%253Bprice%253A1059000%253Bclient%253Adesktop%253Bsupplier_id%253A200163591096%253Bbiz_source%253Ah5_pdp%253Bslot%253A25%253Butlog_bucket_id%253A470687%253Basc_category_id%253A15213%253Bitem_id%253A1475917686%253Bsku_id%253A6138589652%253Bshop_id%253A1634431%253BtemplateInfo%253A107883_A3_C_D_E%25231103_B_L%2523&freeshipping=1&fs_ab=2&fuse_fs=&lang=vi&location=H%C3%A0%20N%E1%BB%99i&price=1.059E%206&priceCompare=skuId%3A6138589652%3Bsource%3Alazada-search-voucher%3Bsn%3Af6015726812e5d79f69ae38dc622ab25%3BunionTrace%3Aa3b58f9517268860203444607e%3BoriginPrice%3A1059000%3BvoucherPrice%3A1059000%3BdisplayPrice%3A1059000%3BsinglePromotionId%3A-1%3BsingleToolCode%3AmockedSalePrice%3BvoucherPricePlugin%3A1%3BbuyerId%3A0%3Btimestamp%3A1726886020645&ratingscore=4.0&request_id=f6015726812e5d79f69ae38dc622ab25&review=3&sale=12&search=1&source=search&spm=a2o4n.searchlistcategory.list.25&stock=1,"Camera wifi Ngoài trời chống nước IPX6 Ezviz C3WN FullHD 2MPX nhìn đêm 30m, wifi mạnh mẽ – Bảo hành chính hãng 24 tháng - Tặng 1 tuần dùng thử cloud",1.059.000,20210600,,OK
734,5,"[0, 0, 0, 0, 1]",hạng củ_xuất thang7 2021 đổi ko,Hạng củ xuất thang7/2021 rồi đổi lại được Ko,Huy H.,Camera giám sát,Camera An Ninh Cctv,Ezviz,https://www.lazada.vn/products/camera-wifi-ngoai-troi-chong-nuoc-ipx6-ezviz-c3wn-fullhd-2mpx-nhin-dem-30m-wifi-manh-me-bao-hanh-chinh-hang-24-thang-tang-1-tuan-dung-thu-cloud-i1475917686-s6138589652.html?c=&channelLpJumpArgs=&clickTrackInfo=query%253A%253Bnid%253A1475917686%253Bsrc%253ALazadaMainSrp%253Brn%253Af6015726812e5d79f69ae38dc622ab25%253Bregion%253Avn%253Bsku%253A1475917686_VNAMZ%253Bprice%253A1059000%253Bclient%253Adesktop%253Bsupplier_id%253A200163591096%253Bbiz_source%253Ah5_pdp%253Bslot%253A25%253Butlog_bucket_id%253A470687%253Basc_category_id%253A15213%253Bitem_id%253A1475917686%253Bsku_id%253A6138589652%253Bshop_id%253A1634431%253BtemplateInfo%253A107883_A3_C_D_E%25231103_B_L%2523&freeshipping=1&fs_ab=2&fuse_fs=&lang=vi&location=H%C3%A0%20N%E1%BB%99i&price=1.059E%206&priceCompare=skuId%3A6138589652%3Bsource%3Alazada-search-voucher%3Bsn%3Af6015726812e5d79f69ae38dc622ab25%3BunionTrace%3Aa3b58f9517268860203444607e%3BoriginPrice%3A1059000%3BvoucherPrice%3A1059000%3BdisplayPrice%3A1059000%3BsinglePromotionId%3A-1%3BsingleToolCode%3AmockedSalePrice%3BvoucherPricePlugin%3A1%3BbuyerId%3A0%3Btimestamp%3A1726886020645&ratingscore=4.0&request_id=f6015726812e5d79f69ae38dc622ab25&review=3&sale=12&search=1&source=search&spm=a2o4n.searchlistcategory.list.25&stock=2,"Camera wifi Ngoài trời chống nước IPX6 Ezviz C3WN FullHD 2MPX nhìn đêm 30m, wifi mạnh mẽ – Bảo hành chính hãng 24 tháng - Tặng 1 tuần dùng thử cloud",1.059.000,20210600,,OK
735,5,"[0, 0, 0, 0, 1]",sử_dụng camera ezviz hài_lòng hàng chuẩn_bị hàng chuyên_nghiệp sản_phẩm nguyên seal hãng phân_phối mua khuyến_mãi giá hấp_dẫn,"Đã sử dụng qua nhiều camera của Ezviz rất hài lòng . Nhà bán hàng chuẩn bị hàng nhanh, chuyên nghiệp, sản phẩm nguyên seal chính hãng phân phối, mua lúc khuyến mãi giá hấp dẫn.",nguyen T.,Camera giám sát,Camera An Ninh Cctv,Ezviz,https://www.lazada.vn/products/camera-wifi-ngoai-troi-chong-nuoc-ipx6-ezviz-c3wn-fullhd-2mpx-nhin-dem-30m-wifi-manh-me-bao-hanh-chinh-hang-24-thang-tang-1-tuan-dung-thu-cloud-i1475917686-s6138589652.html?c=&channelLpJumpArgs=&clickTrackInfo=query%253A%253Bnid%253A1475917686%253Bsrc%253ALazadaMainSrp%253Brn%253Af6015726812e5d79f69ae38dc622ab25%253Bregion%253Avn%253Bsku%253A1475917686_VNAMZ%253Bprice%253A1059000%253Bclient%253Adesktop%253Bsupplier_id%253A200163591096%253Bbiz_source%253Ah5_pdp%253Bslot%253A25%253Butlog_bucket_id%253A470687%253Basc_category_id%253A15213%253Bitem_id%253A1475917686%253Bsku_id%253A6138589652%253Bshop_id%253A1634431%253BtemplateInfo%253A107883_A3_C_D_E%25231103_B_L%2523&freeshipping=1&fs_ab=2&fuse_fs=&lang=vi&location=H%C3%A0%20N%E1%BB%99i&price=1.059E%206&priceCompare=skuId%3A6138589652%3Bsource%3Alazada-search-voucher%3Bsn%3Af6015726812e5d79f69ae38dc622ab25%3BunionTrace%3Aa3b58f9517268860203444607e%3BoriginPrice%3A1059000%3BvoucherPrice%3A1059000%3BdisplayPrice%3A1059000%3BsinglePromotionId%3A-1%3BsingleToolCode%3AmockedSalePrice%3BvoucherPricePlugin%3A1%3BbuyerId%3A0%3Btimestamp%3A1726886020645&ratingscore=4.0&request_id=f6015726812e5d79f69ae38dc622ab25&review=3&sale=12&search=1&source=search&spm=a2o4n.searchlistcategory.list.25&stock=3,"Camera wifi Ngoài trời chống nước IPX6 Ezviz C3WN FullHD 2MPX nhìn đêm 30m, wifi mạnh mẽ – Bảo hành chính hãng 24 tháng - Tặng 1 tuần dùng thử cloud",1.059.000,20210600,,OK
736,5,"[0, 0, 0, 0, 1]",hữu_ích,rất hữu ích,phạm H.,Camera giám sát,Hệ thống an ninh IP,Jetting Buy,https://www.lazada.vn/products/jettingbuy-1-cai-camera-quan-sat-18mm-camera-an-ninh-ong-kinh-goc-rong-170-do-cctv-ir-i451678295.html?spm=a2o4n.searchlistcategory.list.4.556d44b75LsyhF,Jettingbuy 1 Cái Camera Quan Sát 1.8Mm Camera An Ninh Ống Kính Góc Rộng 170 Độ CCTV IR,60.034,20210600,,OK
737,5,"[0, 0, 0, 0, 1]",kích_thước to mô_tả 1 8 mm nhật đc to,kích thước quá to mô tả là 1.8mm mà khi nhật đc nó còn to hơn,thiện P.,Camera giám sát,Hệ thống an ninh IP,Jetting Buy,https://www.lazada.vn/products/jettingbuy-1-cai-camera-quan-sat-18mm-camera-an-ninh-ong-kinh-goc-rong-170-do-cctv-ir-i451678295.html?spm=a2o4n.searchlistcategory.list.4.556d44b75LsyhF,Jettingbuy 1 Cái Camera Quan Sát 1.8Mm Camera An Ninh Ống Kính Góc Rộng 170 Độ CCTV IR,60.034,20210600,,OK
738,3,"[0, 0, 1, 0, 0]",hướng_dẫn ko,"Không có hướng dẫn, ko dùng được",*******300,Camera giám sát,Hệ thống an ninh IP,Jetting Buy,https://www.lazada.vn/products/jettingbuy-1-cai-camera-quan-sat-18mm-camera-an-ninh-ong-kinh-goc-rong-170-do-cctv-ir-i451678295.html?spm=a2o4n.searchlistcategory.list.4.556d44b75LsyhF,Jettingbuy 1 Cái Camera Quan Sát 1.8Mm Camera An Ninh Ống Kính Góc Rộng 170 Độ CCTV IR,60.034,20210600,,OK
739,3,"[0, 0, 1, 0, 0]",giao hàng nhầm sp o chất_lượng,"Giao hàng nhầm, sp chưa dùng lên o biết chất lượng",Hoàng B.,Thiết bị số,Bộ sạc đa năng,pci express,https://www.lazada.vn/products/card-chuyen-doi-pci-express-to-usb-4-cong-30-i226084564.html?spm=a2o4n.searchlistcategory.list.69.14081714z9ugYT,Card chuyển đổi PCI Express to USB 4 cổng 3.0,168,20210600,,OK
740,1,"[1, 0, 0, 0, 0]",hàng kiểu khuôn mặt đôi mắt đảo,Rồi hàng này thì dùng kiểu gì đây 🙄,,Camera giám sát,Hệ thống an ninh IP,Jetting Buy,https://www.lazada.vn/products/jettingbuy-1-cai-camera-quan-sat-18mm-camera-an-ninh-ong-kinh-goc-rong-170-do-cctv-ir-i451678295.html?spm=a2o4n.searchlistcategory.list.4.556d44b75LsyhF,Jettingbuy 1 Cái Camera Quan Sát 1.8Mm Camera An Ninh Ống Kính Góc Rộng 170 Độ CCTV IR,60.034,20210600,,OK
741,5,"[0, 0, 0, 0, 1]",cài_đặt xong sản_phẩm giá tiền mua camera,Đã cài đặt xong.sản phẩm tốt so với giá tiền.sẽ mua thêm camera nữa,Nguyễn V.,Camera giám sát,Camera an ninh CCTV,HIVIZ,https://www.lazada.vn/products/chinh-hang-dau-ghi-hinh-hiviz-pro-8-kenh-4-kenh-50mpx-2k-dau-ghi-cho-camera-analog-20mp-30mp-40mp-50mp-them-4-2-camera-ip-20mp-bao-hanh-chinh-hang-i1483698704.html?spm=a2o4n.searchlistcategory.list.54.59c6523d3QwS7N,"[Chính Hãng] Đầu ghi hình Hiviz Pro 8 Kênh | 4 Kênh 5.0mpx (2K) (đầu ghi Cho camera analog 2.0MP | 3.0MP | 4.0MP | 5.0MP), Thêm 4 | 2 camera ip 2.0MP - Bảo hành chính Hãng",1.150.000,20210600,,OK
742,5,"[0, 0, 0, 0, 1]",hàng lỗi kỉ thuật shop tư_vấn nhiệt_tình,hàng bị lỗi kỉ thuật shop tư vấn nhiệt tình,hoang Q.,Camera giám sát,Camera an ninh CCTV,HIVIZ,https://www.lazada.vn/products/chinh-hang-dau-ghi-hinh-hiviz-pro-8-kenh-4-kenh-50mpx-2k-dau-ghi-cho-camera-analog-20mp-30mp-40mp-50mp-them-4-2-camera-ip-20mp-bao-hanh-chinh-hang-i1483698704.html?spm=a2o4n.searchlistcategory.list.54.59c6523d3QwS7N,"[Chính Hãng] Đầu ghi hình Hiviz Pro 8 Kênh | 4 Kênh 5.0mpx (2K) (đầu ghi Cho camera analog 2.0MP | 3.0MP | 4.0MP | 5.0MP), Thêm 4 | 2 camera ip 2.0MP - Bảo hành chính Hãng",1.150.000,20210600,,OK
743,5,"[0, 0, 0, 0, 1]",giao hàng mua 2 ủng_hộ dài_dài,Giao hàng rất nhanh. Mua lần 2 và sẽ còn ủng hộ dài dài,Nguyễn V.,Camera giám sát,Camera an ninh CCTV,HIVIZ,https://www.lazada.vn/products/chinh-hang-dau-ghi-hinh-hiviz-pro-8-kenh-4-kenh-50mpx-2k-dau-ghi-cho-camera-analog-20mp-30mp-40mp-50mp-them-4-2-camera-ip-20mp-bao-hanh-chinh-hang-i1483698704.html?spm=a2o4n.searchlistcategory.list.54.59c6523d3QwS7N,"[Chính Hãng] Đầu ghi hình Hiviz Pro 8 Kênh | 4 Kênh 5.0mpx (2K) (đầu ghi Cho camera analog 2.0MP | 3.0MP | 4.0MP | 5.0MP), Thêm 4 | 2 camera ip 2.0MP - Bảo hành chính Hãng",1.150.000,20210600,,OK
744,5,"[0, 0, 0, 0, 1]",shop nhiệt_tình sản_phẩm mô_tả chất_lượng tuyệt_vời,"shop nhiệt tình, sản phẩm đúng như mô tả, chất lượng tuyệt vời.",0***8,Camera giám sát,Camera an ninh CCTV,HIVIZ,https://www.lazada.vn/products/chinh-hang-dau-ghi-hinh-hiviz-pro-8-kenh-4-kenh-50mpx-2k-dau-ghi-cho-camera-analog-20mp-30mp-40mp-50mp-them-4-2-camera-ip-20mp-bao-hanh-chinh-hang-i1483698704.html?spm=a2o4n.searchlistcategory.list.54.59c6523d3QwS7N,"[Chính Hãng] Đầu ghi hình Hiviz Pro 8 Kênh | 4 Kênh 5.0mpx (2K) (đầu ghi Cho camera analog 2.0MP | 3.0MP | 4.0MP | 5.0MP), Thêm 4 | 2 camera ip 2.0MP - Bảo hành chính Hãng",1.150.000,20210600,,OK
745,5,"[0, 0, 0, 0, 1]",tạm ổn thử app độ bền,tạm ổn.chưa thử với app. và độ bền chưa rõ,duy,Camera giám sát,Camera an ninh CCTV,HIVIZ,https://www.lazada.vn/products/chinh-hang-dau-ghi-hinh-hiviz-pro-8-kenh-4-kenh-50mpx-2k-dau-ghi-cho-camera-analog-20mp-30mp-40mp-50mp-them-4-2-camera-ip-20mp-bao-hanh-chinh-hang-i1483698704.html?spm=a2o4n.searchlistcategory.list.54.59c6523d3QwS7N,"[Chính Hãng] Đầu ghi hình Hiviz Pro 8 Kênh | 4 Kênh 5.0mpx (2K) (đầu ghi Cho camera analog 2.0MP | 3.0MP | 4.0MP | 5.0MP), Thêm 4 | 2 camera ip 2.0MP - Bảo hành chính Hãng",1.150.000,20210600,,OK
746,5,"[0, 0, 0, 0, 1]",shop đóng_gói kỹ nhiệt_tình sản_phẩm ok mua nha_mn,"Shop đóng gói kỹ,nhiệt tình,sản phẩm ok nên mua nha mn",Hương T.,Camera giám sát,Camera an ninh CCTV,HIVIZ,https://www.lazada.vn/products/chinh-hang-dau-ghi-hinh-hiviz-pro-8-kenh-4-kenh-50mpx-2k-dau-ghi-cho-camera-analog-20mp-30mp-40mp-50mp-them-4-2-camera-ip-20mp-bao-hanh-chinh-hang-i1483698704.html?spm=a2o4n.searchlistcategory.list.54.59c6523d3QwS7N,"[Chính Hãng] Đầu ghi hình Hiviz Pro 8 Kênh | 4 Kênh 5.0mpx (2K) (đầu ghi Cho camera analog 2.0MP | 3.0MP | 4.0MP | 5.0MP), Thêm 4 | 2 camera ip 2.0MP - Bảo hành chính Hãng",1.150.000,20210600,,OK
747,5,"[0, 0, 0, 0, 1]",liên_hệ kiểm_tra lỗi sp ko liên_hệ don mua cua toi 373284569292767,Tôi cần liên hệ nhà bán để kiểm tra lỗi sp nhưng ko biết liên hệ ở đâu. Don mua cua toi 373284569292767,Mr T.,Camera giám sát,Camera an ninh CCTV,Vantech,https://www.lazada.vn/products/camera-ip-wifi-40-megapixel-vantech-ai-v2031c-i1248597092.html?spm=a2o4n.searchlistcategory.list.70.59c6523d3QwS7N,Camera IP Wifi 4.0 Megapixel VANTECH AI-V2031C,600,20210600,,OK
748,1,"[1, 0, 0, 0, 0]",minh muon tra hang,Minh muon tra hang,Anh B.,Camera giám sát,Camera an ninh CCTV,Vantech,https://www.lazada.vn/products/camera-ip-wifi-40-megapixel-vantech-ai-v2031c-i1248597092.html?spm=a2o4n.searchlistcategory.list.70.59c6523d3QwS7N,Camera IP Wifi 4.0 Megapixel VANTECH AI-V2031C,600,20210600,,OK
749,1,"[1, 0, 0, 0, 0]",hàng ko hoạt_động cũ thất_vọng phí vạy,hàng ko hoạt động mà cũ nữa thất vọng . tính trả lại mà phí chuyển lên chuyển xuống cũng vạy,Tuank3,Thiết bị số,Bộ sạc đa năng,TP-Link,https://www.lazada.vn/products/hcmadaptor-tplink-9v-06a-dung-cho-router-i152890839.html?spm=a2o4n.searchlistcategory.list.78.14081714z9ugYT,[HCM]Adaptor TPLink 9v 0.6a dùng cho router,50,20210600,,OK
750,1,"[1, 0, 0, 0, 0]",san pham ben ngoai nhu moi nhung khong hoat dong nguon khong len ghim nguon khac vao chi co duoc den leb xanh bao nguon lai moi thu toi den nhu muc cac ban khong nen mua vi se mat tien oan uong tien nao cua nhu la bai hoc mua hang online nen mua san pham da duoc nhieu nguoi mua va nhan xet,"San pham ben ngoai nhu moi nhung khong hoat dong. Nguon khong len, ghim nguon khac vao chi co duoc den leb xanh bao nguon, con lai moi thu toi den nhu muc. Cac ban khong nen mua vi se mat tien oan uong, tien nao cua do, xem nhu la bai hoc mua hang online, nen mua san pham da duoc nhieu nguoi mua va nhan xet.",Phan T.,Camera giám sát,Camera an ninh CCTV,ELITEK,https://www.lazada.vn/products/dau-ghi-hinh-camera-4-kenh-5in1-chat-luong-elitek-bao-hanh-1-nam-i246127796.html?spm=a2o4n.searchlistcategory.list.77.59c6523d3QwS7N,Đầu Ghi Hình Camera 4 Kênh 5IN1 Chất Lượng Elitek Bảo Hành 1 Năm,699,20210600,,OK
751,1,"[1, 0, 0, 0, 0]",hàng chất_lượng kém linh_kiện 3 hư lắp thành 1 thẻ_nhớ tặng kèm đăng,"Đã nhận hàng. Chất lượng kém (chắc phải lấy linh kiện 3 chiếc hư để lắp thành 1 chiếc), không có thẻ nhớ tặng kèm như đăng bán.",h***.,Camera giám sát,Camera an ninh CCTV,V380 MAX,https://www.lazada.vn/products/cam-camera-v380-da-qua-su-dung-i1819697945.html?spm=a2o4n.searchlistcategory.list.60.41e6523d6PPKkb,cam camera V380 đã qua sử dụng,90,20210600,,OK
752,5,"[0, 0, 0, 0, 1]",hàng chất_lượng shop tư_vấn đầy_đủ chính_xác tiếp_tục ủng_hộ shop hình_ảnh tính_chất xu,hàng chất lượng. shop tư vấn đầy đủ chính xác sẽ tiếp tục ủng hộ shop. hình ảnh mang tính chất nhận xu.,Phạm D.,Camera giám sát,Camera an ninh CCTV,Hikvision,https://www.lazada.vn/products/bo-camera-quan-sat-4-mat-hikvision-20mp-full-hd-bo-camera-giam-sat-hikvision-hang-chinh-hang-bao-hanh-2-nam-su-dung-i2162225842.html?spm=a2o4n.searchlistcategory.list.67.41e6523d6PPKkb,Bộ Camera Quan Sát 4 Mắt Hikvision 2.0MP Full HD - Bộ Camera Giám Sát Hikvision . Hàng Chính Hãng - Bảo Hành 2 Năm Sử Dụng .,2.990.000,20210600,,OK
753,5,"[0, 0, 0, 0, 1]",ok cảm_ơn shop nhiệt_tình chỉ_dẫn chỉ_dẫn cài_đặt điện_thoại tiếng thể cài_đặt xong hình_ảnh tivi sắc nét ok shop có_thể gọi điện_thoại shop shop chỉ_dẫn cài_đặt điện_thoại cảm_ơn shop,"OK cảm ơn shop nhiệt tình chỉ dẫn , mỗi cái phần chỉ dẫn cài đặt lên điện thoại bằng tiếng Anh nên chưa thể cài đặt xong , hình ảnh lên tivi thì sắc nét OK shop nhiều mình có thể gọi điện thoại cho shop để nhờ shop chỉ dẫn cài đặt vào điện thoại sau cảm ơn shop",Hiep N.,Camera giám sát,Camera an ninh CCTV,Hikvision,https://www.lazada.vn/products/bo-camera-quan-sat-4-mat-hikvision-20mp-full-hd-bo-camera-giam-sat-hikvision-hang-chinh-hang-bao-hanh-2-nam-su-dung-i2162225842.html?spm=a2o4n.searchlistcategory.list.67.41e6523d6PPKkb,Bộ Camera Quan Sát 4 Mắt Hikvision 2.0MP Full HD - Bộ Camera Giám Sát Hikvision . Hàng Chính Hãng - Bảo Hành 2 Năm Sử Dụng .,2.990.000,20210600,,OK
754,5,"[0, 0, 0, 0, 1]",sản_phẩm mô_tả shop đóng_gói cẩn_thận hình_ảnh nét shop hỗ_trợ nhiệt_tình cảm_ơn shop,Sản phẩm đúng như mô tả Shop đóng gói cẩn thận Hình ảnh nét Shop hỗ trợ nhiệt tình Cảm ơn shop,3***1,Camera giám sát,Camera an ninh CCTV,Hikvision,https://www.lazada.vn/products/bo-camera-quan-sat-4-mat-hikvision-20mp-full-hd-bo-camera-giam-sat-hikvision-hang-chinh-hang-bao-hanh-2-nam-su-dung-i2162225842.html?spm=a2o4n.searchlistcategory.list.67.41e6523d6PPKkb,Bộ Camera Quan Sát 4 Mắt Hikvision 2.0MP Full HD - Bộ Camera Giám Sát Hikvision . Hàng Chính Hãng - Bảo Hành 2 Năm Sử Dụng .,2.990.000,20210600,,OK
755,5,"[0, 0, 0, 0, 1]",shop giao hàng hàng ảnh shop hỗ_trợ lăps nhiệt_tình,shop giao hàng nhanh hàng giống ảnh shop hỗ trợ lăps đặt nhiệt tình,Quan N.,Camera giám sát,Camera an ninh CCTV,Hikvision,https://www.lazada.vn/products/bo-camera-quan-sat-4-mat-hikvision-20mp-full-hd-bo-camera-giam-sat-hikvision-hang-chinh-hang-bao-hanh-2-nam-su-dung-i2162225842.html?spm=a2o4n.searchlistcategory.list.67.41e6523d6PPKkb,Bộ Camera Quan Sát 4 Mắt Hikvision 2.0MP Full HD - Bộ Camera Giám Sát Hikvision . Hàng Chính Hãng - Bảo Hành 2 Năm Sử Dụng .,2.990.000,20210600,,OK
756,5,"[0, 0, 0, 0, 1]",giao hàng đầy_đủ đóng_gói gọn_gàng chất_lượng kiểm_tra nho shop hỗ_trợ_giúp nha cảm_ơn shop,"giao hàng đầy đủ, đóng gói gọn gàng, chất lượng kiểm tra sau, có gì nho shop hỗ trợ giúp nha. cảm ơn shop",Tran T.,Camera giám sát,Camera an ninh CCTV,Hikvision,https://www.lazada.vn/products/bo-camera-quan-sat-4-mat-hikvision-20mp-full-hd-bo-camera-giam-sat-hikvision-hang-chinh-hang-bao-hanh-2-nam-su-dung-i2162225842.html?spm=a2o4n.searchlistcategory.list.67.41e6523d6PPKkb,Bộ Camera Quan Sát 4 Mắt Hikvision 2.0MP Full HD - Bộ Camera Giám Sát Hikvision . Hàng Chính Hãng - Bảo Hành 2 Năm Sử Dụng .,2.990.000,20210600,,OK
757,5,"[0, 0, 0, 0, 1]",shop tư_vấn nhiệt_tình hỗ_trợ lắp_đặt sản_phẩm mô_tả hình_ảnh sét nét,"shop tư vấn nhiệt tình, hỗ trợ cách lắp đặt, sản phẩm mới giống mô tả, hình ảnh sét nét",0***8,Camera giám sát,Camera an ninh CCTV,Hikvision,https://www.lazada.vn/products/bo-camera-quan-sat-4-mat-hikvision-20mp-full-hd-bo-camera-giam-sat-hikvision-hang-chinh-hang-bao-hanh-2-nam-su-dung-i2162225842.html?spm=a2o4n.searchlistcategory.list.67.41e6523d6PPKkb,Bộ Camera Quan Sát 4 Mắt Hikvision 2.0MP Full HD - Bộ Camera Giám Sát Hikvision . Hàng Chính Hãng - Bảo Hành 2 Năm Sử Dụng .,2.990.000,20210600,,OK
758,4,"[0, 0, 0, 1, 0]",làm_bằng vật_liệu chất_lượng cung_cấp phép đo chính_xác màu tùy_chọn thiết_kế gọn nhẹ phát_hiện độ nhạy sử_dụng vận_hành đáng_giá,"Được làm bằng vật liệu chất lượng cao, cung cấp phép đo chính xác, nhiều màu tùy chọn, dễ mang theo, thiết kế nhỏ gọn và nhẹ, phát hiện độ nhạy cao, dễ sử dụng và vận hành, đáng giá,",*******050,Thiết bị số,Máy dò kim loại,No Brand,https://www.lazada.vn/products/1-cai-dinh-vi-que-cam-tay-duoi-long-dat-may-do-kim-loai-gp-con-tro-cam-tay-chong-tham-nuoc-do-nhay-cao-may-do-an-ninh-i2434464880.html?spm=a2o4n.searchlistcategory.list.101.479a4576RiPloE,1 cái định vị que cầm tay dưới lòng đất Máy dò kim loại GP con trỏ cầm tay chống thấm nước độ nhạy cao Máy Dò An Ninh,149,20210600,,OK
759,1,"[1, 0, 0, 0, 0]",thất_vọng,Rất thất vọng,Vũ M.,Camera giám sát,Camera an ninh CCTV,KBVISION,https://www.lazada.vn/products/hcmcamera-dome-hdcvi-hong-ngoai-40-megapixel-kbvsion-kx-2k12c-i255652403.html?spm=a2o4n.searchlistcategory.list.3.d8e9523d6TA8nh,[HCM]Camera Dome HDCVI hồng ngoại 4.0 Megapixel KBVSION KX-2K12C,900,20210600,,OK
760,5,"[0, 0, 0, 0, 1]",phạm_vi quan_sát ban_đêm tuyệt_vời đa_dụng sử_dụng ngoài_trời,"Phạm vi quan sát ban đêm tuyệt vời, Đa dụng cho sử dụng trong nhà và ngoài trời,",Tú N.,Camera giám sát,Camera an ninh CCTV,Hikvision,https://www.lazada.vn/products/camera-hdtvi-2mp-full-color-hikvision-ds-2ce76d0t-exlpf-i1733273688.html?spm=a2o4n.searchlistcategory.list.36.d8e9523d6TA8nh,Camera HDTVI 2MP Full Color HIKVISION DS-2CE76D0T-EXLPF,358,20210600,,OK
761,5,"[0, 0, 0, 0, 1]",hiệu_suất ánh_sáng yếu đa_dụng sử_dụng ngoài_trời,"Hiệu suất tốt trong ánh sáng yếu, Đa dụng cho sử dụng trong nhà và ngoài trời,",Tú N.,Camera giám sát,Camera an ninh CCTV,Hikvision,https://www.lazada.vn/products/camera-hdtvi-2mp-full-color-hikvision-ds-2ce76d0t-exlpf-i1733273688.html?spm=a2o4n.searchlistcategory.list.36.d8e9523d6TA8nh,Camera HDTVI 2MP Full Color HIKVISION DS-2CE76D0T-EXLPF,358,20210600,,OK
762,1,"[1, 0, 0, 0, 0]",mua sản_phẩm sử_dụng shop liên_hệ hoàn tiền giúp,Mình mua về và sản phẩm không sử dụng được. Shop liên hệ và hoàn tiền lại giúp mình,0***3,Camera giám sát,Camera an ninh CCTV,Hikvision,https://www.lazada.vn/products/camera-hdtvi-2mp-full-color-hikvision-ds-2ce76d0t-exlpf-i1733273688.html?spm=a2o4n.searchlistcategory.list.36.d8e9523d6TA8nh,Camera HDTVI 2MP Full Color HIKVISION DS-2CE76D0T-EXLPF,358,20210600,,OK
